"OBJECTID","ULAND","UREGBEZ","UKREIS","UGEMEINDE","UJAHR","UMONAT","USTUNDE","UWOCHENTAG","UKATEGORIE","UART","UTYP1","IstStrasse","IstRad","IstPKW","IstFuss","IstKrad","IstSonstig","XGCSWGS84","YGCSWGS84"
43791,14,7,13,0,2016,1,6,6,3,5,2,0,1,1,0,0,0,12.290312733,51.3928518179999
43837,14,7,13,0,2016,1,13,6,2,5,3,0,1,1,0,0,0,12.3797631769999,51.3439677479999
43862,14,7,13,0,2016,1,10,5,3,2,6,1,1,1,0,0,0,12.262831686,51.3479447719999
43863,14,7,13,0,2016,1,10,5,3,0,1,2,1,0,0,0,0,12.395376012,51.341092005
43919,14,7,13,0,2016,1,15,3,3,5,3,0,1,1,0,0,0,12.356038794,51.3414548789999
44053,14,7,13,0,2016,2,8,2,3,5,3,0,1,1,0,0,0,12.4522194269999,51.3503363629999
44066,14,7,13,0,2016,1,10,4,3,3,2,0,1,1,0,0,0,12.342630678,51.3386969479999
44394,14,7,13,0,2016,2,2,1,2,0,7,1,1,0,0,0,0,12.371337497,51.3444515959999
44445,14,7,13,0,2016,3,16,4,3,5,2,0,1,1,0,0,0,12.301777438,51.3426613239999
44497,14,7,13,0,2016,3,6,3,3,3,2,1,1,1,0,0,0,12.345039223,51.3751758249999
44580,14,7,13,0,2016,2,6,4,3,5,3,1,1,1,0,0,0,12.344869448,51.339189423
44626,14,7,13,0,2016,3,11,6,2,5,3,0,1,1,0,0,0,12.2639955789999,51.316516157
44690,14,7,13,0,2016,2,14,5,3,5,3,0,1,1,0,0,0,12.366776516,51.3145500879999
44699,14,7,13,0,2016,3,18,5,3,5,3,1,1,1,0,0,0,12.394494396,51.354730508
44730,14,7,13,0,2016,2,13,2,3,2,2,1,1,1,0,0,0,12.373426083,51.314811763
44757,14,7,13,0,2016,3,5,3,3,5,3,1,1,1,0,0,0,12.2812644629999,51.3833837139999
44761,14,7,13,0,2016,3,7,3,3,5,2,0,1,1,0,0,0,12.393016523,51.3344664279999
44762,14,7,13,0,2016,4,14,7,3,5,2,0,1,1,0,0,0,12.390745309,51.347168582
44834,14,7,13,0,2016,2,14,2,3,3,2,1,1,1,0,0,0,12.298401177,51.343021294
44857,14,7,13,0,2016,3,7,4,3,4,6,0,1,0,0,0,0,12.395304634,51.332103132
44890,14,7,13,0,2016,3,6,3,3,5,3,1,1,0,0,0,1,12.3950099169999,51.332142543
45006,14,7,13,0,2016,2,15,4,3,5,3,0,1,1,0,0,0,12.259254946,51.385617126
45102,14,7,13,0,2016,4,19,5,3,4,6,0,1,0,0,0,0,12.424957009,51.35219828
45109,14,7,13,0,2016,5,11,3,3,5,2,0,1,0,0,0,1,12.391406477,51.3474395949999
45116,14,7,13,0,2016,5,9,2,3,5,3,0,1,1,0,0,0,12.38043225,51.344123095
45165,14,7,13,0,2016,5,17,7,3,6,4,0,1,0,1,0,0,12.4102874379999,51.316038077
45186,14,7,13,0,2016,4,19,2,3,3,2,0,1,1,0,0,0,12.369305589,51.344150782
45284,14,7,13,0,2016,4,7,5,3,5,2,0,1,1,0,0,0,12.42193733,51.307708599
45288,14,7,13,0,2016,5,18,2,3,4,2,0,1,1,0,0,0,12.369298267,51.3761028939999
45354,14,7,13,0,2016,5,3,3,3,0,7,0,1,0,0,0,1,12.282947907,51.34438661
